date_day,year,month,day,weekday_name,year_month,is_weekend
2016-09-01,2016,9,1,Thursday,2016-09,False
2016-09-02,2016,9,2,Friday,2016-09,False
2016-09-03,2016,9,3,Saturday,2016-09,True
2016-09-04,2016,9,4,Sunday,2016-09,True
2016-09-05,2016,9,5,Monday,2016-09,False
2016-09-06,2016,9,6,Tuesday,2016-09,False
2016-09-07,2016,9,7,Wednesday,2016-09,False
2016-09-08,2016,9,8,Thursday,2016-09,False
2016-09-09,2016,9,9,Friday,2016-09,False
2016-09-10,2016,9,10,Saturday,2016-09,True
2016-09-11,2016,9,11,Sunday,2016-09,True
2016-09-12,2016,9,12,Monday,2016-09,False
2016-09-13,2016,9,13,Tuesday,2016-09,False
2016-09-14,2016,9,14,Wednesday,2016-09,False
2016-09-15,2016,9,15,Thursday,2016-09,False
2016-09-16,2016,9,16,Friday,2016-09,False
2016-09-17,2016,9,17,Saturday,2016-09,True
2016-09-18,2016,9,18,Sunday,2016-09,True
2016-09-19,2016,9,19,Monday,2016-09,False
2016-09-20,2016,9,20,Tuesday,2016-09,False
2016-09-21,2016,9,21,Wednesday,2016-09,False
2016-09-22,2016,9,22,Thursday,2016-09,False
2016-09-23,2016,9,23,Friday,2016-09,False
2016-09-24,2016,9,24,Saturday,2016-09,True
2016-09-25,2016,9,25,Sunday,2016-09,True
2016-09-26,2016,9,26,Monday,2016-09,False
2016-09-27,2016,9,27,Tuesday,2016-09,False
2016-09-28,2016,9,28,Wednesday,2016-09,False
2016-09-29,2016,9,29,Thursday,2016-09,False
2016-09-30,2016,9,30,Friday,2016-09,False
2016-10-01,2016,10,1,Saturday,2016-10,True
2016-10-02,2016,10,2,Sunday,2016-10,True
2016-10-03,2016,10,3,Monday,2016-10,False
2016-10-04,2016,10,4,Tuesday,2016-10,False
2016-10-05,2016,10,5,Wednesday,2016-10,False
2016-10-06,2016,10,6,Thursday,2016-10,False
2016-10-07,2016,10,7,Friday,2016-10,False
2016-10-08,2016,10,8,Saturday,2016-10,True
2016-10-09,2016,10,9,Sunday,2016-10,True
2016-10-10,2016,10,10,Monday,2016-10,False
2016-10-11,2016,10,11,Tuesday,2016-10,False
2016-10-12,2016,10,12,Wednesday,2016-10,False
2016-10-13,2016,10,13,Thursday,2016-10,False
2016-10-14,2016,10,14,Friday,2016-10,False
2016-10-15,2016,10,15,Saturday,2016-10,True
2016-10-16,2016,10,16,Sunday,2016-10,True
2016-10-17,2016,10,17,Monday,2016-10,False
2016-10-18,2016,10,18,Tuesday,2016-10,False
2016-10-19,2016,10,19,Wednesday,2016-10,False
2016-10-20,2016,10,20,Thursday,2016-10,False
2016-10-21,2016,10,21,Friday,2016-10,False
2016-10-22,2016,10,22,Saturday,2016-10,True
2016-10-23,2016,10,23,Sunday,2016-10,True
